product_id,product_name,category,price,cost,created_at
101,Laptop Pro 15,Electronics,1299.99,800.00,2023-01-01 00:00:00
102,Wireless Mouse,Electronics,29.99,15.00,2023-01-01 00:00:00
103,Mechanical Keyboard,Electronics,89.99,45.00,2023-01-01 00:00:00
104,USB-C Hub,Electronics,49.99,25.00,2023-01-15 00:00:00
105,Monitor 27inch,Electronics,399.99,250.00,2023-01-15 00:00:00
106,Desk Chair,Furniture,249.99,150.00,2023-02-01 00:00:00
107,Standing Desk,Furniture,599.99,350.00,2023-02-01 00:00:00
108,Desk Lamp,Furniture,39.99,20.00,2023-02-15 00:00:00
109,Webcam HD,Electronics,79.99,40.00,2023-03-01 00:00:00
110,Headphones Wireless,Electronics,149.99,75.00,2023-03-01 00:00:00
111,Phone Stand,Accessories,19.99,8.00,2023-03-15 00:00:00
112,Cable Organizer,Accessories,12.99,5.00,2023-04-01 00:00:00
113,Laptop Bag,Accessories,59.99,30.00,2023-04-01 00:00:00
114,External SSD 1TB,Electronics,129.99,70.00,2023-04-15 00:00:00
115,Ergonomic Mouse Pad,Accessories,24.99,12.00,2023-05-01 00:00:00
